Entry	Entry Name	Protein names	Gene Names (synonym)	Gene Names (primary)
A0A024QZ08	A0A024QZ08_HUMAN	Intraflagellar transport 20 homolog (Chlamydomonas), isoform CRA_c	NA	IFT20
A0A024QZ26	A0A024QZ26_HUMAN	Histone deacetylase 6, isoform CRA_c	NA	HDAC6
A0A024QZ86	A0A024QZ86_HUMAN	T-box 2, isoform CRA_a	NA	TBX2
A0A024QZA8	A0A024QZA8_HUMAN	receptor protein-tyrosine kinase (EC 2.7.10.1)	NA	EPHA2
A0A024QZB8	A0A024QZB8_HUMAN	Battenin	NA	CLN3
A0A024QZQ1	A0A024QZQ1_HUMAN	Sirtuin (Silent mating type information regulation 2 homolog) 1 (S. cerevisiae), isoform CRA_a	NA	SIRT1
A0A024QZS3	A0A024QZS3_HUMAN	Phospholipid phosphatase 1 (EC 3.1.3.106) (EC 3.1.3.4) (EC 3.1.3.81) (Lipid phosphate phosphohydrolase 1) (PAP2-alpha) (Phosphatidate phosphohydrolase type 2a) (Phosphatidic acid phosphatase 2a)	NA	PPAP2A
A0A024QZU7	A0A024QZU7_HUMAN	Phospholipid phosphatase 1 (EC 3.1.3.106) (EC 3.1.3.4) (EC 3.1.3.81) (Lipid phosphate phosphohydrolase 1) (PAP2-alpha) (Phosphatidate phosphohydrolase type 2a) (Phosphatidic acid phosphatase 2a)	NA	PPAP2A
A0A024R0L5	A0A024R0L5_HUMAN	[tau protein] kinase (EC 2.7.11.26)	NA	GSK3A
A0A024R126	A0A024R126_HUMAN	Nuclear receptor subfamily 4 group A member 1	NA	NR4A1
A0A024R172	A0A024R172_HUMAN	Prostaglandin reductase 1 (EC 1.3.1.48) (EC 1.3.1.74) (15-oxoprostaglandin 13-reductase) (Dithiolethione-inducible gene 1 protein) (Leukotriene B4 12-hydroxydehydrogenase) (NAD(P)H-dependent alkenal/one oxidoreductase)	NA	LTB4DH
A0A024R1J8	A0A024R1J8_HUMAN	Neurofibromin 2 (Bilateral acoustic neuroma), isoform CRA_a	NA	NF2
A0A024R1N1	A0A024R1N1_HUMAN	Myosin, heavy polypeptide 9, non-muscle, isoform CRA_a	NA	MYH9
A0A024R1N6	A0A024R1N6_HUMAN	SRY (Sex determining region Y)-box 10, isoform CRA_a	NA	SOX10
A0A024R1X5	A0A024R1X5_HUMAN	Beclin-1	NA	BECN1
A0A024R230	A0A024R230_HUMAN	Tyrosine-protein kinase receptor (EC 2.7.10.1)	NA	NTRK2
A0A024R244	A0A024R244_HUMAN	Tyrosine-protein kinase (EC 2.7.10.2)	NA	SYK
A0A024R274	A0A024R274_HUMAN	Mothers against decapentaplegic homolog (MAD homolog) (Mothers against DPP homolog) (SMAD family member)	NA	SMAD4
A0A024R2B3	A0A024R2B3_HUMAN	Apoptosis regulator Bcl-2	NA	BCL2
A0A024R2Q0	A0A024R2Q0_HUMAN	Chemokine (C-C motif) receptor 2, isoform CRA_a	NA	CCR2
A0A024R2Q3	A0A024R2Q3_HUMAN	Catenin (Cadherin-associated protein), beta 1, 88kDa, isoform CRA_a	NA	CTNNB1
A0A024R324	A0A024R324_HUMAN	Epididymis secretory sperm binding protein (Ras homolog gene family, member A, isoform CRA_a)	NA	RHOA
A0A024R328	A0A024R328_HUMAN	Protein kinase C delta type (EC 2.7.11.13) (nPKC-delta)	NA	PRKCD
A0A024R3C5	A0A024R3C5_HUMAN	D(2) dopamine receptor (Dopamine D2 receptor)	NA	DRD2
A0A024R3C7	A0A024R3C7_HUMAN	Serine-protein kinase ATM (EC 2.7.11.1)	NA	ATM
A0A024R3D7	A0A024R3D7_HUMAN	Beta-secretase 1 (EC 3.4.23.46) (Beta-site amyloid precursor protein cleaving enzyme 1) (Memapsin-2) (Membrane-associated aspartic protease 2)	NA	BACE1
A0A024R3T8	A0A024R3T8_HUMAN	Poly [ADP-ribose] polymerase (EC 2.4.2.30)	NA	PARP1
A0A024R562	A0A024R562_HUMAN	BCL2-antagonist of cell death, isoform CRA_c	NA	BAD
A0A024R5E5	A0A024R5E5_HUMAN	V-type proton ATPase subunit a	NA	TCIRG1
A0A024R5U5	A0A024R5U5_HUMAN	Disintegrin and metalloproteinase domain-containing protein 10 (EC 3.4.24.81) (Kuzbanian protein homolog) (Mammalian disintegrin-metalloprotease)	NA	ADAM10
A0A024R5Z3	A0A024R5Z3_HUMAN	Mothers against decapentaplegic homolog (MAD homolog) (Mothers against DPP homolog) (SMAD family member)	NA	SMAD3
A0A024R611	A0A024R611_HUMAN	Coronin	NA	CORO1A
A0A024R658	A0A024R658_HUMAN	mRNA decay activator protein ZFP36 (Zinc finger protein 36)	NA	ZFP36L1
A0A024R6A3	A0A024R6A3_HUMAN	Presenilin (EC 3.4.23.-)	NA	PSEN1
A0A024R6R4	A0A024R6R4_HUMAN	72 kDa type IV collagenase (EC 3.4.24.24) (72 kDa gelatinase) (Matrix metalloproteinase-2)	NA	MMP2
A0A024R730	A0A024R730_HUMAN	Cystic fibrosis transmembrane conductance regulator (EC 5.6.1.6) (ATP-binding cassette sub-family C member 7) (Channel conductance-controlling ATPase) (cAMP-dependent chloride channel)	NA	CFTR
A0A024R737	A0A024R737_HUMAN	N-acyl-phosphatidylethanolamine-hydrolyzing phospholipase D (EC 3.1.4.54)	NA	NAPE-PLD
A0A024R7D5	A0A024R7D5_HUMAN	Low density lipoprotein receptor (Familial hypercholesterolemia), isoform CRA_b	NA	LDLR
A0A024R7I7	A0A024R7I7_HUMAN	Ras-related protein Rab-3	NA	RAB3A
A0A024R7J0	A0A024R7J0_HUMAN	cAMP-dependent protein kinase (EC 2.7.11.11)	NA	PRKACA
A0A024R7R9	A0A024R7R9_HUMAN	Sodium-dependent phosphate transport protein 2A (Na(+)-dependent phosphate cotransporter 2A) (Sodium/phosphate cotransporter 2A) (Solute carrier family 34 member 1)	NA	SLC34A1
A0A024R7T2	A0A024R7T2_HUMAN	Proto-oncogene tyrosine-protein kinase receptor Ret (EC 2.7.10.1)	NA	RET
A0A024R7V4	A0A024R7V4_HUMAN	Proenkephalin-A	NA	PENK
A0A024R809	A0A024R809_HUMAN	Extracellular sulfatase (EC 3.1.6.-)	NA	SULF1
A0A024R813	A0A024R813_HUMAN	Eyes absent homolog (EC 3.1.3.48)	NA	EYA1
A0A024R878	A0A024R878_HUMAN	Endoglin (Osler-Rendu-Weber syndrome 1), isoform CRA_a	NA	ENG
A0A024R8E2	A0A024R8E2_HUMAN	Tyrosine-protein kinase (EC 2.7.10.2)	NA	ABL1
A0A024R8H5	A0A024R8H5_HUMAN	TNF receptor-associated factor (EC 2.3.2.27)	NA	TRAF2
A0A024R8I7	A0A024R8I7_HUMAN	1-acyl-sn-glycerol-3-phosphate acyltransferase (EC 2.3.1.51)	NA	AGPAT2
A0A024R8L2	A0A024R8L2_HUMAN	HCG1987119, isoform CRA_a	NA	NA
A0A024R906	A0A024R906_HUMAN	receptor protein-tyrosine kinase (EC 2.7.10.1)	NA	DDR2
A0A024R968	A0A024R968_HUMAN	Calcium-transporting ATPase (EC 7.2.2.10)	NA	ATP2B4
A0A024RA31	A0A024RA31_HUMAN	Aquaporin-1 (Aquaporin-CHIP) (Water channel protein for red blood cells and kidney proximal tubule)	NA	AQP1
A0A024RAA5	A0A024RAA5_HUMAN	Cell division control protein 42 homolog (EC 3.6.5.2)	NA	CDC42
A0A024RAB4	A0A024RAB4_HUMAN	Alkaline phosphatase (EC 3.1.3.1)	NA	ALPL
A0A024RBC0	A0A024RBC0_HUMAN	Kit ligand (c-Kit ligand)	NA	KITLG
A0A024RBC7	A0A024RBC7_HUMAN	Calcium-transporting ATPase (EC 7.2.2.10)	NA	ATP2B1
A0A024RBE9	A0A024RBE9_HUMAN	Synaptotagmin	NA	SYT1
A0A024RBQ4	A0A024RBQ4_HUMAN	T-box 3 (Ulnar mammary syndrome), isoform CRA_a	NA	TBX3
A0A024RC06	A0A024RC06_HUMAN	Myotubularin (EC 3.1.3.64) (EC 3.1.3.95) (Phosphatidylinositol-3,5-bisphosphate 3-phosphatase) (Phosphatidylinositol-3-phosphate phosphatase)	NA	MTM1
A0A024RC42	A0A024RC42_HUMAN	Cadherin-2 (Neural cadherin)	NA	CDH2
A0A024RCN9	A0A024RCN9_HUMAN	EHMT2 (Euchromatic histone-lysine N-methyltransferase 2, isoform CRA_c)	NA	EHMT2
A0A024RCW6	A0A024RCW6_HUMAN	Peroxisome proliferative activated receptor, delta, isoform CRA_a	NA	PPARD
A0A024RD15	A0A024RD15_HUMAN	Mitogen-activated protein kinase 14 (EC 2.7.11.24) (Mitogen-activated protein kinase p38 alpha)	NA	MAPK14
A0A024RD16	A0A024RD16_HUMAN	Serum response factor (C-fos serum response element-binding transcription factor), isoform CRA_a	NA	SRF
A0A024RD35	A0A024RD35_HUMAN	Elongation of very long chain fatty acids protein 5 (EC 2.3.1.199) (3-keto acyl-CoA synthase ELOVL5) (ELOVL fatty acid elongase 5) (ELOVL FA elongase 5) (Very long chain 3-ketoacyl-CoA synthase 5) (Very long chain 3-oxoacyl-CoA synthase 5)	NA	ELOVL5
A0A024RD80	A0A024RD80_HUMAN	Heat shock protein 90kDa alpha (Cytosolic), class B member 1, isoform CRA_a	NA	HSP90AB1
A0A024RDP8	A0A024RDP8_HUMAN	Multifunctional fusion protein [Includes: Katanin p60 ATPase-containing subunit A1 (Katanin p60 subunit A1) (EC 5.6.1.1) (p60 katanin); Katanin p60 ATPase-containing subunit A-like 1 (Katanin p60 subunit A-like 1) (p60 katanin-like 1)]	KATNA1	KATNAL1
A0A024RDV3	A0A024RDV3_HUMAN	Retinoblastoma 1 (Including osteosarcoma), isoform CRA_a	NA	RB1
A0A024RE06	A0A024RE06_HUMAN	DNA ligase (EC 6.5.1.1)	NA	LIG4
A0A068F658	A0A068F658_HUMAN	Glucosylceramidase (EC 3.2.1.45)	NA	GBA
A0A068F661	A0A068F661_HUMAN	Glucosylceramidase (EC 3.2.1.45)	NA	NA
A0A075B6G3	A0A075B6G3_HUMAN	Dystrophin	NA	DMD
A0A087WV00	A0A087WV00_HUMAN	Diacylglycerol kinase (DAG kinase) (EC 2.7.1.107)	NA	DGKI
A0A087WZT3	A0A087WZT3_HUMAN	BOLA2-SMG1P6 readthrough	NA	BOLA2-SMG1P6
A0A087X1C5	CP2D7_HUMAN	Putative cytochrome P450 2D7 (EC 1.14.14.1)	NA	CYP2D7
A0A087X296	A0A087X296_HUMAN	Prostaglandin G/H synthase 1 (EC 1.14.99.1) (Cyclooxygenase-1) (Prostaglandin H2 synthase 1) (Prostaglandin-endoperoxide synthase 1)	NA	PTGS1
A0A090N7W4	A0A090N7W4_HUMAN	Cyclin-dependent kinase 5 (Cyclin-dependent kinase 5 isoform 1) (Cyclin-dependent kinase 5, isoform CRA_a) (Epididymis secretory sperm binding protein)	NA	CDK5
A0A090N8E9	A0A090N8E9_HUMAN	Histone-lysine N-methyltransferase EZH2 (EC 2.1.1.356)	NA	EZH2
A0A0A0MQU7	A0A0A0MQU7_HUMAN	Hepatocyte nuclear factor 1-alpha	NA	HNF1A
A0A0B4J1S7	A0A0B4J1S7_HUMAN	Tyrosine-protein phosphatase non-receptor type 22	NA	PTPN22
A0A0B4J2F0	PIOS1_HUMAN	Protein PIGBOS1 (PIGB opposite strand protein 1)	NA	PIGBOS1
A0A0B4J2F2	SIK1B_HUMAN	Putative serine/threonine-protein kinase SIK1B (EC 2.7.11.1) (Salt-inducible kinase 1B)	NA	SIK1B
A0A0C4DGF1	A0A0C4DGF1_HUMAN	Zinc finger and BTB domain-containing protein 32	NA	ZBTB32
A0A0C5B5G6	MOTSC_HUMAN	Mitochondrial-derived peptide MOTS-c (Mitochondrial open reading frame of the 12S rRNA-c)	NA	MT-RNR1
A0A0K0K1K3	A0A0K0K1K3_HUMAN	adenylate cyclase (EC 4.6.1.1)	ADCY8	HEL-S-172mP
A0A0K2S4Q6	CD3CH_HUMAN	Protein CD300H (CD300 antigen-like family member H)	NA	CD300H
A0A0S2Z310	A0A0S2Z310_HUMAN	Serine/threonine-protein kinase receptor (EC 2.7.11.30)	NA	ACVRL1
A0A0S2Z366	A0A0S2Z366_HUMAN	Medium-chain specific acyl-CoA dehydrogenase, mitochondrial (EC 1.3.8.7)	NA	ACADM
A0A0S2Z381	A0A0S2Z381_HUMAN	Adenosine deaminase (EC 3.5.4.4) (Adenosine aminohydrolase)	NA	ADA
A0A0S2Z383	A0A0S2Z383_HUMAN	Homeobox protein Nkx-2.5 (Homeobox protein NK-2 homolog E)	NA	NKX2-5
A0A0S2Z391	A0A0S2Z391_HUMAN	BCL2-antagonist/killer 1 isoform 1	NA	BAK1
A0A0S2Z3A9	A0A0S2Z3A9_HUMAN	Bardet-Biedl syndrome 4 isoform 1 (Bardet-Biedl syndrome 4, isoform CRA_a)	NA	BBS4
A0A0S2Z3C5	A0A0S2Z3C5_HUMAN	Bcl-2-like protein 1 (Apoptosis regulator Bcl-X)	NA	BCL2L1
A0A0S2Z3D5	A0A0S2Z3D5_HUMAN	Apolipoprotein E isoform 1	NA	APOE
A0A0S2Z3Q4	A0A0S2Z3Q4_HUMAN	V-crk sarcoma virus CT10 oncogene-like protein isoform 1	NA	CRK
A0A0S2Z3W3	A0A0S2Z3W3_HUMAN	beta-N-acetylhexosaminidase (EC 3.2.1.52)	NA	HEXA
A0A0S2Z3W6	A0A0S2Z3W6_HUMAN	Sodium/potassium-transporting ATPase subunit alpha	NA	ATP1A2
A0A0S2Z491	A0A0S2Z491_HUMAN	Nucleophosmin	NA	NPM1
